23,15732,28894,1
4325,27,40318,1
24,79,11572,1
25,160,41911,1
18,27,21101,1
7,21297,36550,1
1625,7368,14029,1
17,201,21279,1
0,8804,17680,1
1,2,19460,1
7,17,22357,1
7,17,22356,1
27,165,11437,1
5,9,19854,1
33,1957,6524,1
37,22261,40582,1
37,22261,40583,1
21,77,10125,1
27,607,36087,1
7,160,11811,1
34,23100,44192,1
23,18623,28913,1
2735,27,40318,1
10,84,14735,1
16,165,7375,1
27,2305,6941,1
23,17973,28900,1
23,17973,28906,1
9,58,1045,1
19,73,28272,1
14,85,12679,1
22,77,5414,1
31,73,16949,1
19,85,13956,1
1665,27,14977,1
5,9,15294,1
14,58,10758,1
23,13831,28912,1
14,85,12675,1
1665,27,14976,1
2,3,20215,1
24,7565,43341,1
1665,27,14975,1
27,26,28157,1
33,7155,38911,1
6,87,19155,1
8,20315,37890,1
26,1950,39233,1
6,87,19152,1
6,87,19151,1
8,1146,32567,1
18,3,36920,1
7120,8156,23094,1
18,3,36922,1
2803,27,22466,1
18,3,36924,1
18,3,36925,1
18,3,36926,1
18,3,36927,1
18,3,36928,1
18,3,36929,1
10,73,16588,1
5956,27,28199,1
27,74,21154,1
5872,27,22466,1
1,2,5076,1
5,7759,39421,1
27,193,249,1
1780,8155,44964,1
28,26,15787,1
13,2806,22370,1
22,58,3254,1
21,27,31436,1
35,5,10032,1
21,27,31432,1
7248,27,20057,1
22,84,25209,1
27,3366,10631,1
8,89,32296,1
21,27,22470,1
20,25,45749,1
19,73,45741,1
1239,77,11656,1
1239,77,11655,1
1239,77,11654,1
1620,5565,11693,1
2,3,35118,1
18,3,39855,1
6,25,242,1
23,17641,28888,1
20,8,34215,1
22,80,19108,1
574,77,46096,1
11,79,32327,1
9,72,38137,1
7,79,11840,1
980,27,28199,1
23,19543,28900,1
18,3,39854,1
8,23108,44226,1
8833,8156,23094,1
23,19543,28906,1
20,58,17553,1
18,72,10793,1
5,7759,45549,1
5,75,26115,1
28,211,435,1
1,160,8939,1
33,109,28594,1
5,7759,45546,1
0,1051,42803,1
28,78,2947,1
37,108,35944,1
0,1051,42800,1
18,3,25803,1
28,1054,9761,1
18,3,25801,1
18,3,25800,1
18,3,25807,1
18,3,25806,1
18,3,25805,1
18,3,25804,1
18,3,25809,1
18,3,25808,1
6636,27,22466,1
23,18249,28888,1
21,27,38280,1
25,26,17443,1
4,8,26618,1
25,20698,32563,1
23,12833,28888,1
19,73,1410,1
34,23100,44191,1
16,540,36992,1
18,3,34386,1
18,3,34387,1
27,2678,15050,1
18,3,34385,1
6815,27,40318,1
598,27,22466,1
35,43,40608,1
17,23027,44040,1
1,2,24443,1
18,3,34388,1
18,3,34389,1
4470,27,28199,1
26,1946,42668,1
0,6776,13080,1
21,80,32627,1
28,74,2989,1
33,21603,36648,1
1644,3,46314,1
1644,3,46315,1
23,74,3296,1
23,74,3297,1
1644,3,46310,1
1644,3,46311,1
1644,3,46312,1
23,18670,28912,1
5,9,20205,1
8,106,16499,1
1644,3,46318,1
1644,3,46319,1
23,16641,28906,1
18,58,11640,1
9,85,17709,1
16,93,32524,1
2969,27,20057,1
20,84,39303,1
13,165,27742,1
27,93,20595,1
18,77,11579,1
24,75,45455,1
31,72,20008,1
4,77,10526,1
3,2,32340,1
6673,27,40318,1
18,85,26759,1
11,21849,38583,1
4391,27,28199,1
39,165,11511,1
23,15043,28912,1
23,15905,28913,1
1,2,301,1
8,3760,11870,1
28,107,3684,1
25,1214,9937,1
571,22730,42316,1
2064,27,22245,1
5,9,25580,1
22,27,31755,1
11,3634,11495,1
5,9,17476,1
2,3,10320,1
23,17402,28900,1
2,3,10323,1
1620,4894,11692,1
6,7249,27984,1
2,3,10327,1
7,26,38928,1
35,37,30206,1
7446,27,28199,1
571,22730,42317,1
7742,27,22466,1
7,1277,43983,1
23,13693,28913,1
19,84,15880,1
12,11639,23974,1
6,7351,19086,1
12,11639,23973,1
10,80,28343,1
23,13855,28888,1
19,87,38228,1
12,93,11100,1
9,87,25495,1
11,26,33291,1
21,77,44213,1
3,49,22709,1
10,84,8249,1
8591,27,40318,1
27,74,33766,1
11,75,44431,1
15,9445,44402,1
2789,27,40318,1
992,10765,28094,1
23,16318,28906,1
10,11259,43422,1
23,16318,28900,1
35,9223,19924,1
29,78,268,1
6,58,16902,1
3,3044,29153,1
3,3044,29152,1
17,2378,35879,1
25,78,32450,1
25,78,32453,1
25,78,22242,1
11,3311,11131,1
18,58,4519,1
8,1588,34690,1
11,81,21388,1
0,8780,23896,1
4,12,22847,1
21,8518,22023,1
8966,8156,23094,1
23,19283,28894,1
23,12849,28894,1
21,73,3725,1
23,93,22299,1
14,85,12674,1
1787,27,45114,1
25,1,369,1
21,73,3728,1
36,8,31941,1
29,75,31247,1
31,87,27771,1
7879,27,22466,1
29,81,19897,1
28,160,14657,1
29,7,12994,1
7,22,5699,1
14,80,43050,1
34,741,3280,1
14,80,43053,1
23,19505,28894,1
9,86,23804,1
6316,27,20057,1
9,86,23807,1
10,72,17599,1
23,14284,28894,1
8,2485,8339,1
5,9,9917,1
6,73,17487,1
1625,7397,14029,1
6160,27,28199,1
33,42,2990,1
10,6759,12798,1
5,9,27524,1
19,88,15682,1
8,1952,28756,1
17,26,30242,1
700,27,20057,1
10,73,7710,1
17,7,33208,1
7,75,9760,1
21,80,24096,1
29,20167,29893,1
2287,8156,38181,1
16,146,1115,1
21,10588,22045,1
8485,27,28199,1
18,3,38928,1
18,3,38929,1
18,3,38926,1
23,7,13764,1
18,3,38924,1
9,87,4415,1
18,3,38922,1
16,146,1119,1
13,7,5791,1
23,13649,28894,1
34,952,34784,1
0,1945,10185,1
7558,27,28199,1
35,30,41780,1
23,14929,28888,1
18,3,36921,1
13,9444,40697,1
7,2203,8274,1
30,109,8348,1
34,952,34788,1
23,17412,28894,1
18,3,43772,1
29,1943,13845,1
18,3,36923,1
28,78,25221,1
2,3,13002,1
6975,27,20057,1
23,15958,28900,1
1627,77,41706,1
34,17,10971,1
34,17,10973,1
20,80,178,1
18,80,556,1
34,17,10974,1
19,25,12675,1
14,58,19095,1
1,79,368,1
21,10645,22048,1
25,575,37379,1
13,1787,7090,1
5,75,41136,1
28,74,38266,1
7,19,570,1
18,3,43227,1
18,3,43226,1
18,3,43225,1
927,27,20057,1
16,79,22668,1
18,3,43222,1
18,3,43221,1
18,3,43220,1
0,75,17677,1
18,3,43228,1
11,8375,17006,1
11,8375,17007,1
0,9445,44080,1
23,19609,28894,1
28,20561,40228,1
12,7915,15659,1
36,2,4569,1
4,8,29751,1
3,21673,37376,1
36,2,4564,1
27,37,21490,1
27,37,21491,1
36,2,4563,1
27,37,21493,1
5,7759,39241,1
35,1901,5846,1
11,160,8743,1
1,2,17206,1
1510,27,40318,1
20,88,21198,1
23,12936,28913,1
2624,27,20057,1
7,107,21368,1
858,8156,38181,1
571,80,42546,1
571,80,42547,1
0,2605,10002,1
0,2605,10003,1
0,2605,10005,1
0,2605,10007,1
1636,77,18613,1
0,2605,10009,1
1780,8155,37016,1
1780,8155,37011,1
1780,8155,37013,1
0,78,34896,1
8,8714,36159,1
24,7674,14800,1
0,78,34891,1
1620,4185,11690,1
5,1042,4655,1
5,75,40651,1
5,7759,42687,1
13,12207,28136,1
21,88,29090,1
21,88,29092,1
23,18754,28900,1
17,78,43936,1
37,1425,18675,1
4900,27,20057,1
17,175,19156,1
37,1425,18679,1
13,201,7073,1
7,165,44010,1
16,74,9677,1
16,74,9670,1
5,7759,42682,1
5,7759,40245,1
10,87,9671,1
5,7759,40247,1
5,7759,40246,1
5,7759,40241,1
5,7759,40240,1
10,87,9676,1
5,7759,40242,1
1,75,450,1
27,1054,13736,1
16,75,22696,1
27,1054,13730,1
9,80,37904,1
9,58,27877,1
35,573,25064,1
23,17558,28913,1
29,93,24238,1
35,573,25069,1
694,27,28199,1
24,81,26501,1
16,26,1225,1
0,93,27644,1
18,3,40594,1
23,15194,28913,1
9,84,21367,1
18,3,40597,1
9,84,21361,1
18,3,40591,1
28,74,16742,1
18,3,40593,1
4,12,24463,1
35,416,3894,1
18,3,40598,1
18,3,40599,1
25,9902,20458,1
992,8608,28070,1
